procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1095920 106984 1813924    0    0   320   146  200  674  9  1 88  2  0
 0  0      0 1072844 106992 1813996    0    0     0   432  509 1320  7  4 89  0  0
 0  0      0 1072780 106992 1813996    0    0     0     0  213  697  3  0 97  0  0
 0  0      0 1072780 106992 1813996    0    0     0     0   96  171  0  0 100  0  0
 0  0      0 1093832 106992 1813996    0    0     0     0  149  415  4  2 94  0  0
 0  0      0 1093848 106992 1813992    0    0     0     0  105  177  1  0 99  0  0
 0  0      0 1093848 107000 1813992    0    0     0    36  112  196  1  0 98  1  0
 0  0      0 1093848 107000 1813992    0    0     0     0   97  173  0  0 100  0  0
 0  0      0 1093848 107000 1813992    0    0     0     0  116  200  1  0 99  0  0
 0  0      0 1093848 107000 1813992    0    0     0     0   85  144  0  0 100  0  0
 0  0      0 1093848 107000 1813992    0    0     0     0  127  204  0  0 100  0  0
 0  0      0 1093848 107000 1813992    0    0     0     0   80  162  0  0 100  0  0
 0  0      0 1093848 107008 1813992    0    0     0    12   82  140  0  0 98  2  0
