tcp_packets,dist_port_tcp,external_ips,vulume_bytes,udp_packets,source_app_packets,remote_app_packets,source_app_bytes,remote_app_bytes,source_app_packets.1,dns_query_times,type
36,6,3,3911,0,39,33,5100,4140,39,3,benign
117,0,9,23514,0,128,107,26248,24358,128,11,benign
196,0,6,24151,0,205,214,163887,24867,205,9,benign
6,0,1,889,0,7,6,819,975,7,1,benign
6,0,1,882,0,7,6,819,968,7,1,benign
54,54,3,5062,0,63,54,5457,5719,63,9,benign
6,0,1,889,0,7,6,819,975,7,1,benign
6,0,1,1154,0,7,6,593,1228,7,1,benign
6,0,1,888,0,7,6,819,974,7,1,benign
196,0,3,16110,0,200,264,300472,16410,200,4,benign
226,0,10,34063,0,240,249,187514,35139,240,14,benign
6,0,1,888,0,7,6,819,974,7,1,benign
6,0,1,1308,0,7,7,1947,1383,7,1,benign
18,0,2,2932,0,21,19,2114,3149,21,3,benign
100,0,7,22088,0,109,92,19306,22780,109,9,benign
195,0,7,23438,0,205,220,185803,24230,205,10,benign
36,0,3,4969,0,40,68,37011,5268,40,4,benign
119,0,5,13060,0,123,156,155792,13373,123,4,benign
6,0,1,1126,0,7,7,815,1200,7,1,benign
177,0,5,22538,0,186,221,165882,23254,186,9,benign
191,0,6,24128,0,200,218,158844,24844,200,9,benign
148,0,6,20614,0,157,184,155057,21330,157,9,benign
92,0,6,23002,0,101,92,25338,23704,101,9,benign
166,0,6,20255,0,177,215,163700,21131,177,11,benign
6,0,1,888,0,7,6,819,974,7,1,benign
159,0,6,21484,0,168,183,154831,22200,168,9,benign
241,0,11,35001,0,258,259,188369,36338,258,17,benign
6,0,1,444,0,7,1,234,519,7,1,benign
212,0,6,23833,0,226,232,187617,24973,226,14,benign
213,0,7,25104,0,223,236,186473,25896,223,10,benign
6,0,1,1162,0,7,7,647,1236,7,1,benign
151,2,5,14338,0,155,168,191275,14646,155,4,benign
6,0,1,883,0,7,6,819,969,7,1,benign
314,0,4,23215,0,318,528,732022,23523,318,4,benign
86,0,8,20179,0,95,81,18246,20871,95,9,benign
33,0,1,4502,0,34,29,2888,4580,34,1,benign
95,0,9,22495,0,105,90,20823,23268,105,10,benign
27,6,4,4731,0,32,27,3888,5134,32,5,benign
111,0,3,11658,0,114,158,165187,11893,114,3,benign
13,6,2,1769,0,15,13,1654,1917,15,2,benign
18,18,1,1686,0,23,20,2106,2057,23,5,benign
12,0,2,888,0,14,2,481,1051,14,2,benign
181,0,5,21351,0,190,203,180799,22062,190,9,benign
186,0,7,21965,0,196,209,181591,22757,196,10,benign
3280,0,3,1019239,0,3283,3286,439496,1019455,3283,3,benign
6,0,1,444,0,7,1,170,519,7,1,benign
190,0,6,23136,0,200,209,164077,23939,200,10,benign
173,0,5,22157,0,183,200,156058,22960,183,10,benign
2,2,1,148,0,2,0,0,148,2,0,benign
166,0,5,20650,0,175,192,155362,21366,175,9,benign
